Orignal Compute,Original Total,XGBOOST Compute,XGBOOST Total,XGBoost Normalize,XGBoost Normalize Total
1.196220875,8.044770479,1.434888601,5.941954374,40.98392677,44.85216236
1.200858116,7.917888403,1.436264753,5.920265913,40.89707899,44.69665861
1.199071169,8.079525948,1.431075096,5.927723169,40.87446189,44.7179389
1.195804834,8.035328627,1.42479229,5.915833473,40.84413099,44.72742033
1.192730427,7.957256794,1.422548294,5.870990276,40.83209348,44.71111226
1.194490433,7.92937398,1.434569359,5.902220249,40.87154174,44.71585417
1.195505619,8.040082216,1.444727898,5.892175198,40.85722637,44.66084623
1.197127819,8.059511662,1.433465481,5.890643835,40.95390463,44.87211013
1.201431036,7.98766923,1.448460579,5.906316757,40.90831614,44.79469061
1.186738729,7.956447601,1.422445297,5.888870239,40.80198717,44.7238431
1.187090158,8.168693542,1.416911125,5.877302885,40.89176273,44.64479208
1.18695879,8.082787514,1.440575361,5.917392015,40.83250523,44.68990278
1.184228182,7.899315119,1.416732788,5.865374804,40.8447783,44.61458826
1.184706688,7.918827295,1.430042028,5.908377171,40.80599213,44.62943053
1.18813324,7.8398664,1.432058334,5.895129681,41.03043437,45.11635685
1.190256357,8.06955266,1.437097311,5.924000502,40.82167935,44.66771984
1.19581008,7.929301977,1.442957163,6.022056103,40.96309948,45.03837299
1.189855337,7.932869673,1.426549911,5.920204878,41.06269169,45.47690868
1.186137199,8.008913279,1.445092201,5.941160202,40.8628819,44.61828661
1.186410189,8.004003286,1.429967165,5.932759523,40.86846304,44.64455462
1.185954332,8.00486517,1.434394121,5.928342581,40.97046852,44.79678321
1.187226772,7.978294134,1.43743825,5.966869593,40.80937099,44.60944223
1.186941624,7.85202384,1.445946693,5.986998558,40.88789058,44.64927268
1.187473536,7.989747286,1.452672482,5.973934174,40.87881136,44.77134633
1.874456406,10.29739952,1.42897296,5.931048632,40.89034534,44.61980987
2.886194229,13.54597187,1.424853802,5.940550566,40.92906523,44.69613194
2.873533726,13.72065115,1.42798233,5.957527876,40.89846373,44.62533975
2.942444801,14.15913677,1.428896427,5.911647797,41.04070783,44.86611462
2.401068449,12.41257572,1.433429718,5.97563386,40.9478085,44.78710628
1.193922758,8.063632011,1.449660063,5.981877327,41.17547965,45.91948295
1.189793348,7.954825401,1.434980631,5.947257757,40.93365622,44.87562227
1.189157486,7.967369318,1.452403307,6.026791573,41.0550487,45.67570686
1.189200401,8.146355152,1.430960178,5.928627014,40.9012897,44.98903465
1.194307089,8.07853055,1.429104805,5.96490407,40.8931191,44.75552535
